pop2020,name
65614,Adams County
5169,Alexander County
16684,Bond County
53343,Boone County
6227,Brown County
33191,Bureau County
4407,Calhoun County
15672,Carroll County
12991,Cass County
205654,Champaign County
33960,Christian County
15429,Clark County
13273,Clay County
36901,Clinton County
46760,Coles County
5263608,Cook County
18651,Crawford County
10433,Cumberland County
15461,De Witt County
100269,DeKalb County
19764,Douglas County
931317,DuPage County
16786,Edgar County
6208,Edwards County
34703,Effingham County
21490,Fayette County
13513,Ford County
37697,Franklin County
33487,Fulton County
4935,Gallatin County
11936,Greene County
52516,Grundy County
7999,Hamilton County
17543,Hancock County
3642,Hardin County
6335,Henderson County
49167,Henry County
26984,Iroquois County
52891,Jackson County
9241,Jasper County
36995,Jefferson County
21494,Jersey County
22057,Jo Daviess County
13318,Johnson County
516181,Kane County
107264,Kankakee County
132355,Kendall County
49790,Knox County
713281,Lake County
109410,LaSalle County
15268,Lawrence County
34062,Lee County
35792,Livingston County
27912,Logan County
103752,Macon County
44856,Macoupin County
265643,Madison County
37652,Marion County
11717,Marshall County
13058,Mason County
14133,Massac County
27100,McDonough County
309882,McHenry County
170949,McLean County
12270,Menard County
15632,Mercer County
34953,Monroe County
28202,Montgomery County
32845,Morgan County
14481,Moultrie County
51692,Ogle County
181319,Peoria County
20886,Perry County
16681,Piatt County
14640,Pike County
3754,Pope County
5160,Pulaski County
5630,Putnam County
30090,Randolph County
15790,Richland County
144360,Rock Island County
23690,Saline County
196144,Sangamon County
6868,Schuyler County
4941,Scott County
20919,Shelby County
256844,St. Clair County
5382,Stark County
44503,Stephenson County
131086,Tazewell County
17184,Union County
74009,Vermilion County
11318,Wabash County
16821,Warren County
13723,Washington County
16126,Wayne County
13808,White County
55565,Whiteside County
696826,Will County
67114,Williamson County
284916,Winnebago County
38413,Woodford County
