,pop2024,county
0,64326,Adams County
1,4549,Alexander County
2,16364,Bond County
3,53336,Boone County
4,6272,Brown County
5,32631,Bureau County
6,4281,Calhoun County
7,15473,Carroll County
8,12554,Cass County
9,205119,Champaign County
10,33066,Christian County
11,15016,Clark County
12,12921,Clay County
13,36633,Clinton County
14,45774,Coles County
15,5062578,Cook County
16,18105,Crawford County
17,10214,Cumberland County
18,15365,De Witt County
19,100353,DeKalb County
20,19591,Douglas County
21,920762,DuPage County
22,16283,Edgar County
23,5878,Edwards County
24,34362,Effingham County
25,21058,Fayette County
26,13244,Ford County
27,37061,Franklin County
28,32147,Fulton County
29,4517,Gallatin County
30,11446,Greene County
31,54007,Grundy County
32,7841,Hamilton County
33,17118,Hancock County
34,3566,Hardin County
35,6008,Henderson County
36,48300,Henry County
37,25779,Iroquois County
38,51805,Jackson County
39,9116,Jasper County
40,36221,Jefferson County
41,20991,Jersey County
42,21667,Jo Daviess County
43,13261,Johnson County
44,515825,Kane County
45,105882,Kankakee County
46,142458,Kendall County
47,48202,Knox County
48,707621,Lake County
49,108437,LaSalle County
50,14735,Lawrence County
51,33370,Lee County
52,35123,Livingston County
53,27514,Logan County
54,99849,Macon County
55,43913,Macoupin County
56,261932,Madison County
57,36441,Marion County
58,11695,Marshall County
59,12347,Mason County
60,13495,Massac County
61,26764,McDonough County
62,314042,McHenry County
63,169964,McLean County
64,11836,Menard County
65,15441,Mercer County
66,34913,Monroe County
67,27425,Montgomery County
68,31982,Morgan County
69,14309,Moultrie County
70,51185,Ogle County
71,177026,Peoria County
72,20494,Perry County
73,16753,Piatt County
74,14185,Pike County
75,3668,Pope County
76,4872,Pulaski County
77,5569,Putnam County
78,29604,Randolph County
79,15421,Richland County
80,140913,Rock Island County
81,22694,Saline County
82,192831,Sangamon County
83,6713,Schuyler County
84,4649,Scott County
85,20426,Shelby County
86,249771,St. Clair County
87,5123,Stark County
88,42654,Stephenson County
89,129472,Tazewell County
90,16562,Union County
91,71201,Vermilion County
92,10844,Wabash County
93,16010,Warren County
94,13449,Washington County
95,15679,Wayne County
96,13207,White County
97,54441,Whiteside County
98,703410,Will County
99,66868,Williamson County
100,280302,Winnebago County
101,38393,Woodford County
